,artist,current_rank,is_new,last_pos,peak_pos,title,week,weeks_on_chart
2681,Travis Scott,7,1,0,7,Stargazing,8/18/2018,1
2682,Tyga Featuring Offset,8,0,6,6,Taste,8/18/2018,10
2683,Drake,9,0,7,1,Nice For What,8/18/2018,18
2684,Post Malone Featuring Ty Dolla $ign,10,0,8,1,Psycho,8/18/2018,24
2685,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",11,0,11,11,Big Bank,8/18/2018,6
2686,Lil Baby & Drake,12,0,9,5,Yes Indeed,8/18/2018,13
2687,Travis Scott,13,1,0,13,Carousel,8/18/2018,1
2688,Travis Scott,14,1,0,14,Yosemite,8/18/2018,1
2689,Travis Scott,15,1,0,15,R.I.P Screw,8/18/2018,1
2690,Travis Scott,16,1,0,16,Stop Trying To Be God,8/18/2018,1
2691,XXXTENTACION,17,0,10,1,Sad!,8/18/2018,22
2692,Drake,18,0,12,2,Nonstop,8/18/2018,6
2693,Travis Scott,19,1,0,19,No Bystanders,8/18/2018,1
2694,Travis Scott,20,1,0,20,5% Tint,8/18/2018,1
2695,Travis Scott,21,1,0,21,Can't Say,8/18/2018,1
2696,Travis Scott,22,1,0,22,NC-17,8/18/2018,1
2697,Travis Scott,23,1,0,23,Who? What!,8/18/2018,1
2698,Travis Scott,24,1,0,24,Skeletons,8/18/2018,1
2699,Travis Scott,25,1,0,25,Astrothunder,8/18/2018,1
2700,Drake,1,0,1,1,In My Feelings,8/11/2018,5
2701,"Cardi B, Bad Bunny & J Balvin",2,0,2,1,I Like It,8/11/2018,17
2702,6ix9ine Featuring Nicki Minaj & Murda Beatz,3,0,3,3,FEFE,8/11/2018,2
2703,Post Malone,4,0,4,4,Better Now,8/11/2018,14
2704,Juice WRLD,5,0,6,3,Lucid Dreams,8/11/2018,11
2705,Tyga Featuring Offset,6,0,8,6,Taste,8/11/2018,9
2706,Drake,7,0,5,1,Nice For What,8/11/2018,17
2707,Post Malone Featuring Ty Dolla $ign,8,0,7,1,Psycho,8/11/2018,23
2708,Lil Baby & Drake,9,0,10,5,Yes Indeed,8/11/2018,12
2709,XXXTENTACION,10,0,11,1,Sad!,8/11/2018,21
2710,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",11,0,12,11,Big Bank,8/11/2018,5
2711,Drake,12,0,13,2,Nonstop,8/11/2018,5
2712,The Carters,13,0,14,8,Apes**t,8/11/2018,7
2713,XXXTENTACION,14,0,16,8,Moonlight,8/11/2018,10
2714,Cardi B,15,0,18,6,Be Careful,8/11/2018,17
2715,Drake,16,0,15,6,I'm Upset,8/11/2018,10
2716,Childish Gambino,17,0,17,1,This Is America,8/11/2018,12
2717,Juice WRLD,18,0,21,18,All Girls Are The Same,8/11/2018,10
2718,Nicki Minaj Featuring Ariana Grande,19,0,20,19,Bed,8/11/2018,5
2719,Drake,20,0,19,10,Mob Ties,8/11/2018,5
2720,Juice WRLD Featuring Lil Uzi Vert,21,0,23,21,Wasted,8/11/2018,3
2721,G-Eazy Featuring Yo Gotti & YBN Nahmir,22,1,0,22,1942,8/11/2018,1
2722,Logic Featuring Ryan Tedder,23,1,0,23,One Day,8/11/2018,1
2723,A$AP Rocky Featuring Skepta,24,0,0,16,Praise The Lord (Da Shine),8/11/2018,2
2724,Post Malone Featuring Nicki Minaj,25,0,25,8,Ball For Me,8/11/2018,9
2725,Drake,1,0,1,1,In My Feelings,8/4/2018,4
2726,"Cardi B, Bad Bunny & J Balvin",2,0,2,1,I Like It,8/4/2018,16
2727,6ix9ine Featuring Nicki Minaj & Murda Beatz,3,1,0,3,FEFE,8/4/2018,1
2728,Post Malone,4,0,5,4,Better Now,8/4/2018,13
2729,Drake,5,0,3,1,Nice For What,8/4/2018,16
2730,Juice WRLD,6,0,4,3,Lucid Dreams,8/4/2018,10
2731,Post Malone Featuring Ty Dolla $ign,7,0,6,1,Psycho,8/4/2018,22
2732,Tyga Featuring Offset,8,0,8,8,Taste,8/4/2018,8
2733,Drake,9,0,7,1,God's Plan,8/4/2018,27
2734,Lil Baby & Drake,10,0,10,5,Yes Indeed,8/4/2018,11
2735,XXXTENTACION,11,0,9,1,Sad!,8/4/2018,20
2736,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",12,0,15,12,Big Bank,8/4/2018,4
2737,Drake,13,0,11,2,Nonstop,8/4/2018,4
2738,The Carters,14,0,13,8,Apes**t,8/4/2018,6
2739,Drake,15,0,12,6,I'm Upset,8/4/2018,9
2740,XXXTENTACION,16,0,14,8,Moonlight,8/4/2018,9
2741,Childish Gambino,17,0,16,1,This Is America,8/4/2018,11
2742,Cardi B,18,0,17,6,Be Careful,8/4/2018,16
2743,Drake,19,0,18,10,Mob Ties,8/4/2018,4
2744,Nicki Minaj Featuring Ariana Grande,20,0,19,19,Bed,8/4/2018,4
2745,Juice WRLD,21,0,20,18,All Girls Are The Same,8/4/2018,9
2746,Chance The Rapper,22,1,0,22,I Might Need Security,8/4/2018,1
2747,Juice WRLD Featuring Lil Uzi Vert,23,0,24,23,Wasted,8/4/2018,2
2748,Becky G + Natti Natasha,24,1,0,24,Sin Pijama,8/4/2018,1
2749,Post Malone Featuring Nicki Minaj,25,0,0,8,Ball For Me,8/4/2018,8
2750,Drake,1,0,1,1,In My Feelings,7/28/2018,3
2751,"Cardi B, Bad Bunny & J Balvin",2,0,2,1,I Like It,7/28/2018,15
2752,Drake,3,0,3,1,Nice For What,7/28/2018,15
2753,Juice WRLD,4,0,5,3,Lucid Dreams,7/28/2018,9
2754,Post Malone,5,0,9,4,Better Now,7/28/2018,12
2755,Post Malone Featuring Ty Dolla $ign,6,0,6,1,Psycho,7/28/2018,21
2756,Drake,7,0,4,1,God's Plan,7/28/2018,26
2757,Tyga Featuring Offset,8,0,12,8,Taste,7/28/2018,7
2758,XXXTENTACION,9,0,7,1,Sad!,7/28/2018,19
2759,Lil Baby & Drake,10,0,11,5,Yes Indeed,7/28/2018,10
2760,Drake,11,0,8,2,Nonstop,7/28/2018,3
2761,Drake,12,0,10,6,I'm Upset,7/28/2018,8
2762,The Carters,13,0,14,8,Apes**t,7/28/2018,5
2763,XXXTENTACION,14,0,15,8,Moonlight,7/28/2018,8
2764,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",15,0,21,15,Big Bank,7/28/2018,3
2765,Childish Gambino,16,0,18,1,This Is America,7/28/2018,10
2766,Cardi B,17,0,16,6,Be Careful,7/28/2018,15
2767,Drake,18,0,13,10,Mob Ties,7/28/2018,3
2768,Nicki Minaj Featuring Ariana Grande,19,0,22,19,Bed,7/28/2018,3
2769,Juice WRLD,20,0,25,18,All Girls Are The Same,7/28/2018,8
2770,Drake,21,0,17,7,Emotionless,7/28/2018,3
2771,Drake,22,0,20,14,Can't Take A Joke,7/28/2018,3
2772,Drake,23,0,19,11,Elevate,7/28/2018,3
2773,Juice WRLD Featuring Lil Uzi Vert,24,1,0,24,Wasted,7/28/2018,1
2774,Wiz Khalifa Featuring Swae Lee,25,1,0,25,Hopeless Romantic,7/28/2018,1
2775,Drake,1,0,5,1,In My Feelings,7/21/2018,2
2776,"Cardi B, Bad Bunny & J Balvin",2,0,3,1,I Like It,7/21/2018,14
2777,Drake,3,0,1,1,Nice For What,7/21/2018,14
2778,Drake,4,0,4,1,God's Plan,7/21/2018,25
2779,Juice WRLD,5,0,12,3,Lucid Dreams,7/21/2018,8
2780,Post Malone Featuring Ty Dolla $ign,6,0,9,1,Psycho,7/21/2018,20
2781,XXXTENTACION,7,0,8,1,Sad!,7/21/2018,18
2782,Drake,8,0,2,2,Nonstop,7/21/2018,2
2783,Post Malone,9,0,17,4,Better Now,7/21/2018,11
2784,Drake,10,0,6,6,I'm Upset,7/21/2018,7
2785,Lil Baby & Drake,11,0,18,5,Yes Indeed,7/21/2018,9
2786,Tyga Featuring Offset,12,0,23,12,Taste,7/21/2018,6
2787,Drake,13,0,10,10,Mob Ties,7/21/2018,2
2788,The Carters,14,0,24,8,Apes**t,7/21/2018,4
2789,XXXTENTACION,15,0,25,8,Moonlight,7/21/2018,7
2790,Cardi B,16,0,0,6,Be Careful,7/21/2018,14
2791,Drake,17,0,7,7,Emotionless,7/21/2018,2
2792,Childish Gambino,18,0,0,1,This Is America,7/21/2018,9
2793,Drake,19,0,11,11,Elevate,7/21/2018,2
2794,Drake,20,0,14,14,Can't Take A Joke,7/21/2018,2
2795,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",21,0,0,21,Big Bank,7/21/2018,2
2796,Nicki Minaj Featuring Ariana Grande,22,0,0,20,Bed,7/21/2018,2
2797,Future,23,1,0,23,Wifi Lit,7/21/2018,1
2798,Drake,24,0,20,20,Blue Tint,7/21/2018,2
2799,Juice WRLD,25,0,0,18,All Girls Are The Same,7/21/2018,7
2800,Drake,1,0,5,1,Nice For What,7/14/2018,13
2801,Drake,2,1,0,2,Nonstop,7/14/2018,1
2802,"Cardi B, Bad Bunny & J Balvin",3,0,1,1,I Like It,7/14/2018,13
2803,Drake,4,0,6,1,God's Plan,7/14/2018,24
2804,Drake,5,1,0,5,In My Feelings,7/14/2018,1
2805,Drake,6,0,14,6,I'm Upset,7/14/2018,6
2806,Drake,7,1,0,7,Emotionless,7/14/2018,1
2807,XXXTENTACION,8,0,2,1,Sad!,7/14/2018,17
2808,Post Malone Featuring Ty Dolla $ign,9,0,4,1,Psycho,7/14/2018,19
2809,Drake,10,1,0,10,Mob Ties,7/14/2018,1
2810,Drake,11,1,0,11,Elevate,7/14/2018,1
2811,Juice WRLD,12,0,3,3,Lucid Dreams,7/14/2018,7
2812,Drake,13,1,0,13,Survival,7/14/2018,1
2813,Drake,14,1,0,14,Can't Take A Joke,7/14/2018,1
2814,Drake Featuring JAY-Z,15,1,0,15,Talk Up,7/14/2018,1
2815,Drake,16,1,0,16,8 Out Of 10,7/14/2018,1
2816,Post Malone,17,0,9,4,Better Now,7/14/2018,10
2817,Lil Baby & Drake,18,0,7,5,Yes Indeed,7/14/2018,8
2818,Drake,19,1,0,19,Sandra's Rose,7/14/2018,1
2819,Drake,20,1,0,20,Blue Tint,7/14/2018,1
2820,Drake,21,1,0,21,Is There More,7/14/2018,1
2821,Drake,22,1,0,22,That's How You Feel,7/14/2018,1
2822,Tyga Featuring Offset,23,0,17,15,Taste,7/14/2018,5
2823,The Carters,24,0,11,8,Apes**t,7/14/2018,3
2824,XXXTENTACION,25,0,8,8,Moonlight,7/14/2018,6
2825,"Cardi B, Bad Bunny & J Balvin",1,0,2,1,I Like It,7/7/2018,12
2826,XXXTENTACION,2,0,1,1,Sad!,7/7/2018,16
2827,Juice WRLD,3,0,4,3,Lucid Dreams,7/7/2018,6
2828,Post Malone Featuring Ty Dolla $ign,4,0,5,1,Psycho,7/7/2018,18
2829,Drake,5,0,3,1,Nice For What,7/7/2018,12
2830,Drake,6,0,6,1,God's Plan,7/7/2018,23
2831,Lil Baby & Drake,7,0,7,5,Yes Indeed,7/7/2018,7
2832,XXXTENTACION,8,0,10,8,Moonlight,7/7/2018,5
2833,Post Malone,9,0,13,4,Better Now,7/7/2018,9
2834,Rich The Kid,10,0,17,5,Plug Walk,7/7/2018,18
2835,The Carters,11,0,8,8,Apes**t,7/7/2018,2
2836,Childish Gambino,12,0,11,1,This Is America,7/7/2018,8
2837,XXXTENTACION,13,0,12,10,Jocelyn Flores,7/7/2018,12
2838,Drake,14,0,9,9,I'm Upset,7/7/2018,5
2839,BlocBoy JB Featuring Drake,15,0,15,2,Look Alive,7/7/2018,20
2840,Migos Featuring Drake,16,0,14,4,Walk It Talk It,7/7/2018,20
2841,Tyga Featuring Offset,17,0,18,15,Taste,7/7/2018,4
2842,Cardi B,18,0,16,6,Be Careful,7/7/2018,13
2843,Juice WRLD,19,0,21,18,All Girls Are The Same,7/7/2018,6
2844,XXXTENTACION,20,0,19,19,Everybody Dies In Their Nightmares,7/7/2018,5
2845,Kanye West,21,0,22,8,All Mine,7/7/2018,4
2846,XXXTENTACION,22,0,25,22,The Remedy For A Broken Heart (Why Am I So In Love),7/7/2018,3
2847,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",23,1,0,23,Big Bank,7/7/2018,1
2848,Post Malone Featuring Nicki Minaj,24,0,0,8,Ball For Me,7/7/2018,7
2849,"2 Chainz, Drake & Quavo",25,0,24,24,Bigger > You,7/7/2018,2
2850,XXXTENTACION,1,0,23,1,Sad!,6/30/2018,15
2851,"Cardi B, Bad Bunny & J Balvin",2,0,3,2,I Like It,6/30/2018,11
2852,Drake,3,0,1,1,Nice For What,6/30/2018,11
2853,Juice WRLD,4,0,5,4,Lucid Dreams,6/30/2018,5
2854,Post Malone Featuring Ty Dolla $ign,5,0,2,1,Psycho,6/30/2018,17
2855,Drake,6,0,4,1,God's Plan,6/30/2018,22
2856,Lil Baby & Drake,7,0,6,5,Yes Indeed,6/30/2018,6
2857,The Carters,8,1,0,8,Apes**t,6/30/2018,1
2858,Drake,9,0,12,9,I'm Upset,6/30/2018,4
2859,XXXTENTACION,10,0,0,10,Moonlight,6/30/2018,4
2860,Childish Gambino,11,0,7,1,This Is America,6/30/2018,7
2861,XXXTENTACION,12,0,0,10,Jocelyn Flores,6/30/2018,11
2862,Post Malone,13,0,10,4,Better Now,6/30/2018,8
2863,Migos Featuring Drake,14,0,8,4,Walk It Talk It,6/30/2018,19
2864,BlocBoy JB Featuring Drake,15,0,9,2,Look Alive,6/30/2018,19
2865,Cardi B,16,0,11,6,Be Careful,6/30/2018,12
2866,Rich The Kid,17,0,14,5,Plug Walk,6/30/2018,17
2867,Tyga Featuring Offset,18,0,15,15,Taste,6/30/2018,3
2868,XXXTENTACION,19,0,0,19,Everybody Dies In Their Nightmares,6/30/2018,4
2869,Nicki Minaj Featuring Ariana Grande,20,1,0,20,Bed,6/30/2018,1
2870,Juice WRLD,21,0,18,18,All Girls Are The Same,6/30/2018,5
2871,Kanye West,22,0,13,8,All Mine,6/30/2018,3
2872,Nicki Minaj,23,0,20,6,Chun-Li,6/30/2018,10
2873,"2 Chainz, Drake & Quavo",24,1,0,24,Bigger > You,6/30/2018,1
2874,XXXTENTACION,25,0,0,25,The Remedy For A Broken Heart (Why Am I So In Love),6/30/2018,2
2875,Drake,1,0,2,1,Nice For What,6/23/2018,10
2876,Post Malone Featuring Ty Dolla $ign,2,0,1,1,Psycho,6/23/2018,16
2877,"Cardi B, Bad Bunny & J Balvin",3,0,3,3,I Like It,6/23/2018,10
2878,Drake,4,0,4,1,God's Plan,6/23/2018,21
2879,Juice WRLD,5,0,7,5,Lucid Dreams,6/23/2018,4
2880,Lil Baby & Drake,6,0,9,5,Yes Indeed,6/23/2018,5
2881,Childish Gambino,7,0,5,1,This Is America,6/23/2018,6
2882,Migos Featuring Drake,8,0,10,4,Walk It Talk It,6/23/2018,18
2883,BlocBoy JB Featuring Drake,9,0,11,2,Look Alive,6/23/2018,18
2884,Post Malone,10,0,17,4,Better Now,6/23/2018,7
2885,Cardi B,11,0,13,6,Be Careful,6/23/2018,11
2886,Drake,12,0,16,10,I'm Upset,6/23/2018,3
2887,Kanye West,13,0,8,8,All Mine,6/23/2018,2
2888,Rich The Kid,14,0,18,5,Plug Walk,6/23/2018,16
2889,Tyga Featuring Offset,15,0,24,15,Taste,6/23/2018,2
2890,KIDS SEE GHOSTS,16,1,0,16,Reborn,6/23/2018,1
2891,Kanye West,17,0,6,6,Yikes,6/23/2018,2
2892,Juice WRLD,18,0,22,18,All Girls Are The Same,6/23/2018,4
2893,KIDS SEE GHOSTS Featuring Louis Prima,19,1,0,19,4th Dimension,6/23/2018,1
2894,Nicki Minaj,20,0,20,6,Chun-Li,6/23/2018,9
2895,KIDS SEE GHOSTS,21,1,0,21,Feel The Love,6/23/2018,1
2896,6ix9ine Featuring DJ SPINKING,22,0,21,17,TATI,6/23/2018,3
2897,XXXTENTACION,23,0,23,3,Sad!,6/23/2018,14
2898,Post Malone Featuring Nicki Minaj,24,0,0,8,Ball For Me,6/23/2018,6
2899,KIDS SEE GHOSTS,25,1,0,25,"Freeee (Ghost Town, Pt. 2)",6/23/2018,1
2900,Post Malone Featuring Ty Dolla $ign,1,0,2,1,Psycho,6/16/2018,15
2901,Drake,2,0,1,1,Nice For What,6/16/2018,9
2902,"Cardi B, Bad Bunny & J Balvin",3,0,6,3,I Like It,6/16/2018,9
2903,Drake,4,0,3,1,God's Plan,6/16/2018,20
2904,Childish Gambino,5,0,4,1,This Is America,6/16/2018,5
2905,Kanye West,6,1,0,6,Yikes,6/16/2018,1
2906,Juice WRLD,7,0,9,7,Lucid Dreams,6/16/2018,3
2907,Kanye West,8,1,0,8,All Mine,6/16/2018,1
2908,Lil Baby & Drake,9,0,5,5,Yes Indeed,6/16/2018,4
2909,Migos Featuring Drake,10,0,8,4,Walk It Talk It,6/16/2018,17
2910,BlocBoy JB Featuring Drake,11,0,7,2,Look Alive,6/16/2018,17
2911,Kanye West Featuring PARTYNEXTDOOR,12,1,0,12,Wouldn't Leave,6/16/2018,1
2912,Cardi B,13,0,11,6,Be Careful,6/16/2018,10
2913,Kanye West,14,1,0,14,Violent Crimes,6/16/2018,1
2914,Kanye West,15,1,0,15,I Thought About Killing You,6/16/2018,1
2915,Drake,16,0,10,10,I'm Upset,6/16/2018,2
2916,Post Malone,17,0,13,4,Better Now,6/16/2018,6
2917,Rich The Kid,18,0,12,5,Plug Walk,6/16/2018,15
2918,Kanye West,19,1,0,19,No Mistakes,6/16/2018,1
2919,Nicki Minaj,20,0,14,6,Chun-Li,6/16/2018,8
2920,6ix9ine Featuring DJ SPINKING,21,0,17,17,TATI,6/16/2018,2
2921,Juice WRLD,22,0,18,18,All Girls Are The Same,6/16/2018,3
2922,XXXTENTACION,23,0,15,3,Sad!,6/16/2018,13
2923,Tyga Featuring Offset,24,1,0,24,Taste,6/16/2018,1
2924,J. Cole,25,0,22,7,KOD,6/16/2018,7
2925,Drake,1,0,1,1,Nice For What,6/9/2018,8
2926,Post Malone Featuring Ty Dolla $ign,2,0,4,2,Psycho,6/9/2018,14
2927,Drake,3,0,3,1,God's Plan,6/9/2018,19
2928,Childish Gambino,4,0,2,1,This Is America,6/9/2018,4
2929,Lil Baby & Drake,5,0,5,5,Yes Indeed,6/9/2018,3
2930,"Cardi B, Bad Bunny & J Balvin",6,0,9,5,I Like It,6/9/2018,8
2931,BlocBoy JB Featuring Drake,7,0,6,2,Look Alive,6/9/2018,16
2932,Migos Featuring Drake,8,0,7,4,Walk It Talk It,6/9/2018,16
2933,Juice WRLD,9,0,14,9,Lucid Dreams,6/9/2018,2
2934,Drake,10,1,0,10,I'm Upset,6/9/2018,1
2935,Cardi B,11,0,8,6,Be Careful,6/9/2018,9
2936,Rich The Kid,12,0,10,5,Plug Walk,6/9/2018,14
2937,Post Malone,13,0,12,4,Better Now,6/9/2018,5
2938,Nicki Minaj,14,0,11,6,Chun-Li,6/9/2018,7
2939,XXXTENTACION,15,0,13,3,Sad!,6/9/2018,12
2940,A$AP Rocky Featuring Skepta,16,1,0,16,Praise The Lord (Da Shine),6/9/2018,1
2941,6ix9ine Featuring DJ SPINKING,17,1,0,17,TATI,6/9/2018,1
2942,Juice WRLD,18,0,21,18,All Girls Are The Same,6/9/2018,2
2943,Rae Sremmurd & Juicy J,19,0,15,12,Powerglide,6/9/2018,11
2944,YoungBoy Never Broke Again,20,0,16,16,Overdose,6/9/2018,4
2945,Famous Dex,21,0,20,14,Japan,6/9/2018,9
2946,J. Cole,22,0,17,7,KOD,6/9/2018,6
2947,Lil Pump,23,0,22,12,Esskeetit,6/9/2018,7
2948,Post Malone Featuring Nicki Minaj,24,0,18,8,Ball For Me,6/9/2018,5
2949,A$AP Rocky Featuring Moby,25,1,0,25,A$AP Forever,6/9/2018,1
2950,Drake,1,0,2,1,Nice For What,6/2/2018,7
2951,Childish Gambino,2,0,1,1,This Is America,6/2/2018,3
2952,Drake,3,0,3,1,God's Plan,6/2/2018,18
2953,Post Malone Featuring Ty Dolla $ign,4,0,4,2,Psycho,6/2/2018,13
2954,Lil Baby & Drake,5,0,20,5,Yes Indeed,6/2/2018,2
2955,BlocBoy JB Featuring Drake,6,0,5,2,Look Alive,6/2/2018,15
2956,Migos Featuring Drake,7,0,6,4,Walk It Talk It,6/2/2018,15
2957,Cardi B,8,0,10,6,Be Careful,6/2/2018,8
2958,"Cardi B, Bad Bunny & J Balvin",9,0,8,5,I Like It,6/2/2018,7
2959,Rich The Kid,10,0,9,5,Plug Walk,6/2/2018,13
2960,Nicki Minaj,11,0,13,6,Chun-Li,6/2/2018,6
2961,Post Malone,12,0,11,4,Better Now,6/2/2018,4
2962,XXXTENTACION,13,0,12,3,Sad!,6/2/2018,11
2963,Juice WRLD,14,1,0,14,Lucid Dreams,6/2/2018,1
2964,Rae Sremmurd & Juicy J,15,0,14,12,Powerglide,6/2/2018,10
2965,YoungBoy Never Broke Again,16,0,22,16,Overdose,6/2/2018,3
2966,J. Cole,17,0,18,7,KOD,6/2/2018,5
2967,Post Malone Featuring Nicki Minaj,18,0,21,8,Ball For Me,6/2/2018,4
2968,Migos,19,0,17,3,Stir Fry,6/2/2018,20
2969,Famous Dex,20,0,15,14,Japan,6/2/2018,8
2970,Juice WRLD,21,1,0,21,All Girls Are The Same,6/2/2018,1
2971,Lil Pump,22,0,25,12,Esskeetit,6/2/2018,6
2972,Travis Scott Featuring Lil Uzi Vert & Kanye West,23,0,16,8,Watch,6/2/2018,3
2973,"Jay Rock, Kendrick Lamar, Future & James Blake",24,0,24,10,King's Dead,6/2/2018,13
2974,Post Malone,25,0,23,7,Paranoid,6/2/2018,4
2975,Childish Gambino,1,0,1,1,This Is America,5/26/2018,2
2976,Drake,2,0,2,1,Nice For What,5/26/2018,6
2977,Drake,3,0,3,1,God's Plan,5/26/2018,17
2978,Post Malone Featuring Ty Dolla $ign,4,0,4,2,Psycho,5/26/2018,12
2979,BlocBoy JB Featuring Drake,5,0,5,2,Look Alive,5/26/2018,14
2980,Migos Featuring Drake,6,0,7,4,Walk It Talk It,5/26/2018,14
2981,Post Malone Featuring 21 Savage,7,0,6,1,Rockstar,5/26/2018,29
2982,"Cardi B, Bad Bunny & J Balvin",8,0,9,5,I Like It,5/26/2018,6
2983,Rich The Kid,9,0,13,5,Plug Walk,5/26/2018,12
2984,Cardi B,10,0,12,6,Be Careful,5/26/2018,7
2985,Post Malone,11,0,11,4,Better Now,5/26/2018,3
2986,XXXTENTACION,12,0,15,3,Sad!,5/26/2018,10
2987,Nicki Minaj,13,0,10,6,Chun-Li,5/26/2018,5
2988,Rae Sremmurd & Juicy J,14,0,14,12,Powerglide,5/26/2018,9
2989,Famous Dex,15,0,19,14,Japan,5/26/2018,7
2990,Travis Scott Featuring Lil Uzi Vert & Kanye West,16,0,8,8,Watch,5/26/2018,2
2991,Migos,17,0,20,3,Stir Fry,5/26/2018,19
2992,J. Cole,18,0,21,7,KOD,5/26/2018,4
2993,Playboi Carti Featuring Lil Uzi Vert,19,1,0,19,Shoota,5/26/2018,1
2994,Lil Baby & Drake,20,1,0,20,Yes Indeed,5/26/2018,1
2995,Post Malone Featuring Nicki Minaj,21,0,17,8,Ball For Me,5/26/2018,3
2996,YoungBoy Never Broke Again,22,0,18,18,Overdose,5/26/2018,2
2997,Post Malone,23,0,16,7,Paranoid,5/26/2018,3
2998,"Jay Rock, Kendrick Lamar, Future & James Blake",24,0,25,10,King's Dead,5/26/2018,12
2999,Lil Pump,25,0,22,12,Esskeetit,5/26/2018,5
3000,Childish Gambino,1,1,0,1,This Is America,5/19/2018,1
3001,Drake,2,0,1,1,Nice For What,5/19/2018,5
3002,Drake,3,0,3,1,God's Plan,5/19/2018,16
3003,Post Malone Featuring Ty Dolla $ign,4,0,2,2,Psycho,5/19/2018,11
3004,BlocBoy JB Featuring Drake,5,0,6,2,Look Alive,5/19/2018,13
3005,Post Malone Featuring 21 Savage,6,0,5,1,Rockstar,5/19/2018,28
3006,Migos Featuring Drake,7,0,9,4,Walk It Talk It,5/19/2018,13
3007,Travis Scott Featuring Lil Uzi Vert & Kanye West,8,1,0,8,Watch,5/19/2018,1
3008,"Cardi B, Bad Bunny & J Balvin",9,0,11,5,I Like It,5/19/2018,5
3009,Nicki Minaj,10,0,23,6,Chun-Li,5/19/2018,4
3010,Post Malone,11,0,4,4,Better Now,5/19/2018,2
3011,Cardi B,12,0,14,6,Be Careful,5/19/2018,6
3012,Rich The Kid,13,0,16,5,Plug Walk,5/19/2018,11
3013,Rae Sremmurd & Juicy J,14,0,18,12,Powerglide,5/19/2018,8
3014,XXXTENTACION,15,0,0,3,Sad!,5/19/2018,9
3015,Post Malone,16,0,7,7,Paranoid,5/19/2018,2
3016,Post Malone Featuring Nicki Minaj,17,0,8,8,Ball For Me,5/19/2018,2
3017,YoungBoy Never Broke Again,18,1,0,18,Overdose,5/19/2018,1
3018,Famous Dex,19,0,0,14,Japan,5/19/2018,6
3019,Migos,20,0,25,3,Stir Fry,5/19/2018,18
3020,J. Cole,21,0,21,7,KOD,5/19/2018,3
3021,Lil Pump,22,0,24,12,Esskeetit,5/19/2018,4
3022,J. Cole,23,0,20,4,ATM,5/19/2018,3
3023,J. Cole,24,0,22,5,Kevin's Heart,5/19/2018,3
3024,"Jay Rock, Kendrick Lamar, Future & James Blake",25,0,0,10,King's Dead,5/19/2018,11
3025,Drake,1,0,1,1,Nice For What,5/12/2018,4
3026,Post Malone Featuring Ty Dolla $ign,2,0,3,2,Psycho,5/12/2018,10
3027,Drake,3,0,2,1,God's Plan,5/12/2018,15
3028,Post Malone,4,1,0,4,Better Now,5/12/2018,1
3029,Post Malone Featuring 21 Savage,5,0,0,1,Rockstar,5/12/2018,27
3030,BlocBoy JB Featuring Drake,6,0,6,2,Look Alive,5/12/2018,12
3031,Post Malone,7,1,0,7,Paranoid,5/12/2018,1
3032,Post Malone Featuring Nicki Minaj,8,1,0,8,Ball For Me,5/12/2018,1
3033,Migos Featuring Drake,9,0,11,4,Walk It Talk It,5/12/2018,12
3034,Post Malone Featuring G-Eazy & YG,10,1,0,10,Same Bitches,5/12/2018,1
3035,"Cardi B, Bad Bunny & J Balvin",11,0,10,5,I Like It,5/12/2018,4
3036,Post Malone,12,1,0,12,Zack And Codeine,5/12/2018,1
3037,Post Malone,13,1,0,13,Over Now,5/12/2018,1
3038,Cardi B,14,0,14,6,Be Careful,5/12/2018,5
3039,Post Malone,15,1,0,15,Takin' Shots,5/12/2018,1
3040,Rich The Kid,16,0,13,5,Plug Walk,5/12/2018,10
3041,Post Malone,17,0,0,17,Candy Paint,5/12/2018,9
3042,Rae Sremmurd & Juicy J,18,0,21,12,Powerglide,5/12/2018,7
3043,Post Malone,19,1,0,19,92 Explorer,5/12/2018,1
3044,J. Cole,20,0,4,4,ATM,5/12/2018,2
3045,J. Cole,21,0,7,7,KOD,5/12/2018,2
3046,J. Cole,22,0,5,5,Kevin's Heart,5/12/2018,2
3047,Nicki Minaj,23,0,25,6,Chun-Li,5/12/2018,3
3048,Lil Pump,24,0,19,12,Esskeetit,5/12/2018,3
3049,Migos,25,0,20,3,Stir Fry,5/12/2018,17
3050,Drake,1,0,1,1,Nice For What,5/5/2018,3
3051,Drake,2,0,2,1,God's Plan,5/5/2018,14
3052,Post Malone Featuring Ty Dolla $ign,3,0,3,2,Psycho,5/5/2018,9
3053,J. Cole,4,1,0,4,ATM,5/5/2018,1
3054,J. Cole,5,1,0,5,Kevin's Heart,5/5/2018,1
3055,BlocBoy JB Featuring Drake,6,0,4,2,Look Alive,5/5/2018,11
3056,J. Cole,7,1,0,7,KOD,5/5/2018,1
3057,J. Cole,8,1,0,8,Photograph,5/5/2018,1
3058,J. Cole,9,1,0,9,Motiv8,5/5/2018,1
